"YEAR";"SEX";"AGE";"GEO";"POPULATION"
2004;"Male";30;"Budapest";65279
2004;"Male";30;"Pest megye";43834
2004;"Male";30;"Fejér megye";15864
2004;"Male";30;"Komárom-Esztergom megye";11773
2004;"Male";30;"Veszprém megye";12973
2004;"Male";30;"Gyõr-Moson-Sopron megye";16765
2004;"Male";30;"Vas megye";9834
2004;"Male";30;"Zala megye";10564
2004;"Male";30;"Baranya megye";14110
2004;"Male";30;"Somogy megye";11585
2004;"Male";30;"Tolna megye";8493
2004;"Male";30;"Borsod-Abaúj-Zemplén megye";24689
2004;"Male";30;"Heves megye";10969
2004;"Male";30;"Nógrád megye";7389
2004;"Male";30;"Hajdú-Bihar megye";20000
2004;"Male";30;"Jász-Nagykun-Szolnok megye";14128
2004;"Male";30;"Szabolcs-Szatmár-Bereg megye";20846
2004;"Male";30;"Bács-Kiskun megye";19126
2004;"Male";30;"Békés megye";13099
2004;"Male";30;"Csongrád megye";15170
2004;"Male";35;"Budapest";53004
2004;"Male";35;"Pest megye";39943
2004;"Male";35;"Fejér megye";14185
2004;"Male";35;"Komárom-Esztergom megye";10663
2004;"Male";35;"Veszprém megye";12299
2004;"Male";35;"Gyõr-Moson-Sopron megye";14503
2004;"Male";35;"Vas megye";8762
2004;"Male";35;"Zala megye";9733
2004;"Male";35;"Baranya megye";13015
2004;"Male";35;"Somogy megye";10674
2004;"Male";35;"Tolna megye";7941
2004;"Male";35;"Borsod-Abaúj-Zemplén megye";24005
2004;"Male";35;"Heves megye";9852
2004;"Male";35;"Nógrád megye";7086
2004;"Male";35;"Hajdú-Bihar megye";18092
2004;"Male";35;"Jász-Nagykun-Szolnok megye";12960
2004;"Male";35;"Szabolcs-Szatmár-Bereg megye";19542
2004;"Male";35;"Bács-Kiskun megye";17327
2004;"Male";35;"Békés megye";12406
2004;"Male";35;"Csongrád megye";13737
2004;"Male";40;"Budapest";43004
2004;"Male";40;"Pest megye";34468
2004;"Male";40;"Fejér megye";13773
2004;"Male";40;"Komárom-Esztergom megye";10201
2004;"Male";40;"Veszprém megye";12141
2004;"Male";40;"Gyõr-Moson-Sopron megye";13447
2004;"Male";40;"Vas megye";8614
2004;"Male";40;"Zala megye";9735
2004;"Male";40;"Baranya megye";13241
2004;"Male";40;"Somogy megye";10772
2004;"Male";40;"Tolna megye";7886
2004;"Male";40;"Borsod-Abaúj-Zemplén megye";23680
2004;"Male";40;"Heves megye";9827
2004;"Male";40;"Nógrád megye";7153
2004;"Male";40;"Hajdú-Bihar megye";17346
2004;"Male";40;"Jász-Nagykun-Szolnok megye";12430
2004;"Male";40;"Szabolcs-Szatmár-Bereg megye";19085
2004;"Male";40;"Bács-Kiskun megye";17043
2004;"Male";40;"Békés megye";11846
2004;"Male";40;"Csongrád megye";12440
2004;"Male";45;"Budapest";55894
2004;"Male";45;"Pest megye";41295
2004;"Male";45;"Fejér megye";17255
2004;"Male";45;"Komárom-Esztergom megye";12334
2004;"Male";45;"Veszprém megye";14961
2004;"Male";45;"Gyõr-Moson-Sopron megye";17145
2004;"Male";45;"Vas megye";10681
2004;"Male";45;"Zala megye";12316
2004;"Male";45;"Baranya megye";16391
2004;"Male";45;"Somogy megye";13609
2004;"Male";45;"Tolna megye";10170
2004;"Male";45;"Borsod-Abaúj-Zemplén megye";28060
2004;"Male";45;"Heves megye";12450
2004;"Male";45;"Nógrád megye";8502
2004;"Male";45;"Hajdú-Bihar megye";21059
